species_code,year,variable,interaction_env,fleet_env
BFAL,2018,SST,21.72269,20.14841
BFAL,2019,SST,20.81563,18.55363
BFAL,2020,SST,20.71526,20.99267
BFAL,2021,SST,19.92276,20.0535
BFAL,2022,SST,17.22478,21.17863
BFAL,2023,SST,18.35048,19.94846
BFAL,2024,SST,17.98656,20.20083
BFAL,2025,SST,18.55375,18.20238
LAAL,2006,Chlorophyll-a,-0.05259,0.10681
LAAL,2007,Chlorophyll-a,-0.02773,0.04116
LAAL,2008,Chlorophyll-a,0.17151,0.05039
LAAL,2009,Chlorophyll-a,-0.03529,0.02799
LAAL,2010,Chlorophyll-a,0.1458,0.1525
LAAL,2011,Chlorophyll-a,0.11999,0.06282
LAAL,2012,Chlorophyll-a,0.16688,0.10511
LAAL,2013,Chlorophyll-a,0.03554,0.02871
LAAL,2014,Chlorophyll-a,0.11297,0.05659
LAAL,2015,Chlorophyll-a,-0.02888,0.13562
LAAL,2016,Chlorophyll-a,-0.01215,0.15368
LAAL,2017,Chlorophyll-a,-0.02257,0.10796
LAAL,2018,Chlorophyll-a,0.12704,0.10944
LAAL,2019,Chlorophyll-a,0.09253,0.082
LAAL,2020,Chlorophyll-a,0.14764,0.17329
LAAL,2021,Chlorophyll-a,0.15303,0.08205
LAAL,2022,Chlorophyll-a,0.06194,0.16841
LAAL,2023,Chlorophyll-a,0.04206,0.03189
LAAL,2024,Chlorophyll-a,0.15985,0.17417
LAAL,2025,Chlorophyll-a,0.15148,0.13293
LAAL,2006,Distance to seamount,99.6358,-35.75313
LAAL,2007,Distance to seamount,199.64207,64.18916
LAAL,2008,Distance to seamount,-13.54061,-126.07157
LAAL,2009,Distance to seamount,59.3608,-31.61784
LAAL,2010,Distance to seamount,113.08396,40.27736
LAAL,2011,Distance to seamount,-217.94364,46.64887
LAAL,2012,Distance to seamount,136.01216,-0.08211
LAAL,2013,Distance to seamount,-35.76725,-78.238
LAAL,2014,Distance to seamount,-152.9647,25.02277
LAAL,2015,Distance to seamount,94.04442,-10.23879
LAAL,2016,Distance to seamount,330.13008,89.78103
LAAL,2017,Distance to seamount,161.97343,9.26594
LAAL,2018,Distance to seamount,-26.27414,177.47587
LAAL,2019,Distance to seamount,-171.0658,-58.68127
LAAL,2020,Distance to seamount,-170.59079,-7.40633
LAAL,2021,Distance to seamount,-64.84966,-29.64746
LAAL,2022,Distance to seamount,-27.22887,98.80735
LAAL,2023,Distance to seamount,36.91739,144.63558
LAAL,2024,Distance to seamount,-39.43185,50.38645
LAAL,2025,Distance to seamount,145.52251,127.09868
LAAL,2006,Sea-level anomaly,0.02451,0.00075
LAAL,2007,Sea-level anomaly,0.05115,-0.01128
LAAL,2008,Sea-level anomaly,0.0185,0.00213
LAAL,2009,Sea-level anomaly,0.04787,-0.01266
LAAL,2010,Sea-level anomaly,0.02102,0.00145
LAAL,2011,Sea-level anomaly,0.04475,0.01419
LAAL,2012,Sea-level anomaly,-0.00825,-0.03556
LAAL,2013,Sea-level anomaly,0.01443,-0.00673
LAAL,2014,Sea-level anomaly,0.06473,0.00287
LAAL,2015,Sea-level anomaly,0.02555,-0.01035
LAAL,2016,Sea-level anomaly,-0.00333,-0.00092
LAAL,2017,Sea-level anomaly,0.00426,-0.01865
LAAL,2018,Sea-level anomaly,0.02517,0.02459
LAAL,2019,Sea-level anomaly,-0.04028,0.03855
LAAL,2020,Sea-level anomaly,-0.00933,0.02103
LAAL,2021,Sea-level anomaly,0.04489,0.01488
LAAL,2022,Sea-level anomaly,-0.01962,0.02284
LAAL,2023,Sea-level anomaly,0.05575,0.00437
LAAL,2024,Sea-level anomaly,0.02727,-0.00735
LAAL,2025,Sea-level anomaly,0.04305,0.04972
LAAL,2006,SST,19.24926,20.16836
LAAL,2007,SST,17.68911,21.90327
LAAL,2008,SST,19.53922,19.53422
LAAL,2009,SST,16.43133,19.0646
LAAL,2010,SST,21.56586,20.80979
LAAL,2011,SST,18.3914,19.33305
LAAL,2012,SST,21.97232,18.85833
LAAL,2013,SST,18.33282,19.61239
LAAL,2014,SST,18.95136,19.32259
LAAL,2015,SST,21.51032,18.90481
LAAL,2016,SST,17.6955,18.40732
LAAL,2017,SST,21.68243,19.54788
LAAL,2018,SST,19.54359,18.75614
LAAL,2019,SST,20.22114,19.90233
LAAL,2020,SST,18.68817,21.59321
LAAL,2021,SST,20.97403,19.04941
LAAL,2022,SST,19.45675,17.87586
LAAL,2023,SST,16.48976,19.39628
LAAL,2024,SST,19.8786,19.26972
LAAL,2025,SST,18.31822,18.20238
OWT,2006,Chlorophyll-a,0.06572,0.03047
OWT,2007,Chlorophyll-a,0.06566,0.03574
OWT,2008,Chlorophyll-a,0.06422,0.02477
OWT,2009,Chlorophyll-a,0.04841,0.03376
OWT,2010,Chlorophyll-a,0.07033,0.03376
OWT,2011,Chlorophyll-a,0.0513,0.01966
OWT,2012,Chlorophyll-a,0.07385,0.02949
OWT,2013,Chlorophyll-a,0.05666,0.03416
OWT,2014,Chlorophyll-a,0.06037,0.03047
OWT,2015,Chlorophyll-a,0.05373,0.02269
OWT,2016,Chlorophyll-a,0.04349,0.0279
OWT,2017,Chlorophyll-a,0.05227,0.02991
OWT,2018,Chlorophyll-a,0.05557,0.02879
OWT,2019,Chlorophyll-a,0.06334,0.02281
OWT,2020,Chlorophyll-a,0.06224,0.02696
OWT,2021,Chlorophyll-a,0.062,0.03173
OWT,2022,Chlorophyll-a,0.05058,0.0294
OWT,2023,Chlorophyll-a,0.06521,0.02408
OWT,2024,Chlorophyll-a,0.04606,0.02363
OWT,2025,Chlorophyll-a,0.06803,0.13293
OWT,2006,Distance to seamount,33.90784,-7.13839
OWT,2007,Distance to seamount,30.7156,-4.16389
OWT,2008,Distance to seamount,35.4046,-6.86743
OWT,2009,Distance to seamount,34.83674,-6.07731
OWT,2010,Distance to seamount,34.67344,-9.69122
OWT,2011,Distance to seamount,34.8501,-6.70622
OWT,2012,Distance to seamount,31.37821,-7.59786
OWT,2013,Distance to seamount,37.13728,-6.57365
OWT,2014,Distance to seamount,31.67075,-6.75689
OWT,2015,Distance to seamount,35.22859,-7.3615
OWT,2016,Distance to seamount,34.87791,-8.85014
OWT,2017,Distance to seamount,33.21707,-8.50702
OWT,2018,Distance to seamount,35.46077,-7.41303
OWT,2019,Distance to seamount,33.69147,-8.49443
OWT,2020,Distance to seamount,35.76199,-7.25324
OWT,2021,Distance to seamount,35.15353,-5.24784
OWT,2022,Distance to seamount,37.33897,-8.50584
OWT,2023,Distance to seamount,37.22259,-5.45161
OWT,2024,Distance to seamount,34.08322,-6.18509
OWT,2025,Distance to seamount,32.07098,127.09868
OWT,2006,Sea-level anomaly,-0.12495,0.11454
OWT,2007,Sea-level anomaly,0.2629,0.03454
OWT,2008,Sea-level anomaly,-0.1073,0.00564
OWT,2009,Sea-level anomaly,-0.01587,-0.03166
OWT,2010,Sea-level anomaly,0.02231,0.087
OWT,2011,Sea-level anomaly,0.04981,-0.09424
OWT,2012,Sea-level anomaly,0.07585,-0.08682
OWT,2013,Sea-level anomaly,0.03035,-0.00421
OWT,2014,Sea-level anomaly,0.04304,0.18795
OWT,2015,Sea-level anomaly,0.13633,-0.06297
OWT,2016,Sea-level anomaly,-0.42702,-0.13647
OWT,2017,Sea-level anomaly,0.04583,-0.01631
OWT,2018,Sea-level anomaly,-0.13975,-0.09975
OWT,2019,Sea-level anomaly,0.02129,-0.01453
OWT,2020,Sea-level anomaly,-0.28086,0.03397
OWT,2021,Sea-level anomaly,-0.03002,0.10533
OWT,2022,Sea-level anomaly,0.16453,0.08322
OWT,2023,Sea-level anomaly,-0.06659,-0.14157
OWT,2024,Sea-level anomaly,-0.05157,0.00546
OWT,2025,Sea-level anomaly,0.16338,0.04972
OWT,2006,SST,24.9644,29.03414
OWT,2007,SST,25.3395,28.5538
OWT,2008,SST,24.96979,27.58344
OWT,2009,SST,25.16412,29.92991
OWT,2010,SST,24.66333,28.22575
OWT,2011,SST,25.40223,29.63434
OWT,2012,SST,23.24716,28.28848
OWT,2013,SST,24.05166,28.21826
OWT,2014,SST,24.08251,28.80895
OWT,2015,SST,23.50844,30.35708
OWT,2016,SST,25.91575,28.56365
OWT,2017,SST,23.06806,30.44656
OWT,2018,SST,23.85136,30.35481
OWT,2019,SST,23.75333,29.08349
OWT,2020,SST,25.23555,30.11945
OWT,2021,SST,27.38947,29.44485
OWT,2022,SST,25.59669,28.16413
OWT,2023,SST,25.61803,29.36307
OWT,2024,SST,23.46868,29.2939
OWT,2025,SST,23.52319,18.20238
SMA,2006,Chlorophyll-a,0.06926,0.1503
SMA,2007,Chlorophyll-a,0.09624,0.14097
SMA,2008,Chlorophyll-a,0.03025,0.12986
SMA,2009,Chlorophyll-a,0.07267,0.15352
SMA,2010,Chlorophyll-a,0.10998,0.16678
SMA,2011,Chlorophyll-a,0.11699,0.17207
SMA,2012,Chlorophyll-a,0.12339,0.14553
SMA,2013,Chlorophyll-a,0.05081,0.11431
SMA,2014,Chlorophyll-a,0.18174,0.11757
SMA,2015,Chlorophyll-a,0.13733,0.14215
SMA,2016,Chlorophyll-a,0.13268,0.17778
SMA,2017,Chlorophyll-a,0.11623,0.14523
SMA,2018,Chlorophyll-a,0.11254,0.13544
SMA,2019,Chlorophyll-a,0.09614,0.12937
SMA,2020,Chlorophyll-a,0.09164,0.1396
SMA,2021,Chlorophyll-a,0.10682,0.1323
SMA,2022,Chlorophyll-a,0.138,0.14869
SMA,2023,Chlorophyll-a,0.09363,0.08272
SMA,2024,Chlorophyll-a,0.17487,0.14693
SMA,2025,Chlorophyll-a,0.15283,0.13293
SMA,2006,Distance to seamount,136.71774,98.09997
SMA,2007,Distance to seamount,66.87741,90.72751
SMA,2008,Distance to seamount,100.42363,63.67772
SMA,2009,Distance to seamount,93.6398,67.92169
SMA,2010,Distance to seamount,107.08569,81.40342
SMA,2011,Distance to seamount,71.03236,9.95669
SMA,2012,Distance to seamount,70.29505,128.1034
SMA,2013,Distance to seamount,84.16437,107.26105
SMA,2014,Distance to seamount,90.74906,132.74641
SMA,2015,Distance to seamount,87.60674,123.88466
SMA,2016,Distance to seamount,81.7178,18.29311
SMA,2017,Distance to seamount,116.87695,70.23292
SMA,2018,Distance to seamount,64.26707,123.42713
SMA,2019,Distance to seamount,66.73983,97.91323
SMA,2020,Distance to seamount,43.59948,84.35544
SMA,2021,Distance to seamount,84.77388,91.86354
SMA,2022,Distance to seamount,93.14656,128.16946
SMA,2023,Distance to seamount,111.9669,131.03766
SMA,2024,Distance to seamount,117.24272,79.59054
SMA,2025,Distance to seamount,125.17047,127.09868
SMA,2006,Sea-level anomaly,0.03586,0.03735
SMA,2007,Sea-level anomaly,0.04093,0.01217
SMA,2008,Sea-level anomaly,0.02368,0.04931
SMA,2009,Sea-level anomaly,0.01628,0.03341
SMA,2010,Sea-level anomaly,0.02959,0.03337
SMA,2011,Sea-level anomaly,0.02434,0.03289
SMA,2012,Sea-level anomaly,0.0333,0.05916
SMA,2013,Sea-level anomaly,0.04214,0.0465
SMA,2014,Sea-level anomaly,0.02452,0.04821
SMA,2015,Sea-level anomaly,0.02154,0.05725
SMA,2016,Sea-level anomaly,-0.0004,0.05363
SMA,2017,Sea-level anomaly,0.02787,0.04565
SMA,2018,Sea-level anomaly,0.02981,0.03894
SMA,2019,Sea-level anomaly,-0.00583,0.04199
SMA,2020,Sea-level anomaly,0.01664,0.04034
SMA,2021,Sea-level anomaly,0.06769,0.03235
SMA,2022,Sea-level anomaly,0.00732,0.03853
SMA,2023,Sea-level anomaly,0.0306,0.04349
SMA,2024,Sea-level anomaly,0.06596,0.03846
SMA,2025,Sea-level anomaly,0.05206,0.04972
SMA,2006,SST,19.09828,17.34179
SMA,2007,SST,19.48685,17.96451
SMA,2008,SST,18.06435,17.96374
SMA,2009,SST,18.84458,17.89851
SMA,2010,SST,17.95018,17.92788
SMA,2011,SST,17.92678,17.29267
SMA,2012,SST,18.554,17.09624
SMA,2013,SST,17.39628,16.08155
SMA,2014,SST,20.20864,18.92032
SMA,2015,SST,18.44781,18.16421
SMA,2016,SST,18.60339,17.81869
SMA,2017,SST,18.90608,17.94317
SMA,2018,SST,17.38536,18.21892
SMA,2019,SST,19.32697,16.62038
SMA,2020,SST,18.78324,17.86401
SMA,2021,SST,19.36003,18.13479
SMA,2022,SST,17.77153,17.41308
SMA,2023,SST,19.5089,17.38429
SMA,2024,SST,17.95964,18.04356
SMA,2025,SST,17.7039,18.20238
LBT,2006,Chlorophyll-a,0.10034,0.09719
LBT,2007,Chlorophyll-a,0.09335,0.10417
LBT,2008,Chlorophyll-a,0.10622,0.0934
LBT,2009,Chlorophyll-a,0.104,0.09998
LBT,2010,Chlorophyll-a,0.09504,0.10493
LBT,2011,Chlorophyll-a,0.0968,0.08984
LBT,2012,Chlorophyll-a,0.09566,0.10011
LBT,2013,Chlorophyll-a,0.0945,0.09785
LBT,2014,Chlorophyll-a,0.10583,0.09975
LBT,2015,Chlorophyll-a,0.09439,0.10121
LBT,2016,Chlorophyll-a,0.10385,0.10084
LBT,2017,Chlorophyll-a,0.11103,0.10123
LBT,2018,Chlorophyll-a,0.10523,0.10278
LBT,2019,Chlorophyll-a,0.09261,0.10255
LBT,2020,Chlorophyll-a,0.10994,0.09817
LBT,2021,Chlorophyll-a,0.08789,0.09593
LBT,2022,Chlorophyll-a,0.10042,0.10621
LBT,2023,Chlorophyll-a,0.10164,0.10027
LBT,2024,Chlorophyll-a,0.09786,0.0964
LBT,2025,Chlorophyll-a,0.09352,0.13293
LBT,2006,Distance to seamount,105.36378,68.66326
LBT,2007,Distance to seamount,81.17159,93.36784
LBT,2008,Distance to seamount,106.70818,69.51444
LBT,2009,Distance to seamount,115.32629,70.9848
LBT,2010,Distance to seamount,63.96088,88.60276
LBT,2011,Distance to seamount,69.31741,110.98164
LBT,2012,Distance to seamount,83.73614,85.68316
LBT,2013,Distance to seamount,77.33496,93.6511
LBT,2014,Distance to seamount,71.75478,71.76573
LBT,2015,Distance to seamount,62.5741,100.99997
LBT,2016,Distance to seamount,142.87179,89.25461
LBT,2017,Distance to seamount,84.43748,108.9049
LBT,2018,Distance to seamount,60.18933,69.36247
LBT,2019,Distance to seamount,81.61311,103.08138
LBT,2020,Distance to seamount,69.12038,112.89812
LBT,2021,Distance to seamount,74.54884,88.42454
LBT,2022,Distance to seamount,53.95886,101.98041
LBT,2023,Distance to seamount,66.63217,93.67831
LBT,2024,Distance to seamount,98.29643,95.35494
LBT,2025,Distance to seamount,96.38765,127.09868
LBT,2006,Sea-level anomaly,0.04268,0.03817
LBT,2007,Sea-level anomaly,0.11778,0.04751
LBT,2008,Sea-level anomaly,0.00741,0.00787
LBT,2009,Sea-level anomaly,0.05115,0.05644
LBT,2010,Sea-level anomaly,-0.02368,0.01527
LBT,2011,Sea-level anomaly,0.02973,0.02882
LBT,2012,Sea-level anomaly,0.00466,0.05244
LBT,2013,Sea-level anomaly,-0.00605,0.01633
LBT,2014,Sea-level anomaly,0.01236,0.03359
LBT,2015,Sea-level anomaly,0.0571,0.00491
LBT,2016,Sea-level anomaly,0.09225,0.04497
LBT,2017,Sea-level anomaly,0.04991,-0.00438
LBT,2018,Sea-level anomaly,0.05058,0.03873
LBT,2019,Sea-level anomaly,-0.00029,0.0229
LBT,2020,Sea-level anomaly,0.03873,0.01364
LBT,2021,Sea-level anomaly,0.03105,0.03248
LBT,2022,Sea-level anomaly,-0.00048,0.01197
LBT,2023,Sea-level anomaly,0.06091,0.03426
LBT,2024,Sea-level anomaly,0.0674,0.04598
LBT,2025,Sea-level anomaly,0.05575,0.04972
LBT,2006,SST,19.58306,19.99374
LBT,2007,SST,19.44903,19.9481
LBT,2008,SST,19.73931,19.52405
LBT,2009,SST,19.57556,20.18333
LBT,2010,SST,19.10267,20.09506
LBT,2011,SST,19.75187,19.6484
LBT,2012,SST,18.80674,19.93259
LBT,2013,SST,19.62563,19.79545
LBT,2014,SST,20.17344,19.93491
LBT,2015,SST,19.2531,19.74398
LBT,2016,SST,19.59876,19.67899
LBT,2017,SST,19.09343,19.91981
LBT,2018,SST,19.23671,19.91505
LBT,2019,SST,19.81002,20.12456
LBT,2020,SST,19.2726,19.83147
LBT,2021,SST,19.9053,19.26507
LBT,2022,SST,20.27575,19.60375
LBT,2023,SST,18.95189,19.89486
LBT,2024,SST,19.63041,20.14034
LBT,2025,SST,19.3035,18.20238
LHT,2006,Chlorophyll-a,0.05029,0.09183
LHT,2007,Chlorophyll-a,0.08136,0.12409
LHT,2008,Chlorophyll-a,0.0368,0.13676
LHT,2009,Chlorophyll-a,0.07596,0.1135
LHT,2010,Chlorophyll-a,0.15487,0.14279
LHT,2011,Chlorophyll-a,0.14656,0.13118
LHT,2012,Chlorophyll-a,0.14469,0.10641
LHT,2013,Chlorophyll-a,0.06396,0.11253
LHT,2014,Chlorophyll-a,0.16424,0.14689
LHT,2015,Chlorophyll-a,0.18098,0.13541
LHT,2016,Chlorophyll-a,0.07089,0.10415
LHT,2017,Chlorophyll-a,0.10333,0.13507
LHT,2018,Chlorophyll-a,0.20345,0.14211
LHT,2019,Chlorophyll-a,0.15983,0.12431
LHT,2020,Chlorophyll-a,0.08448,0.14861
LHT,2021,Chlorophyll-a,0.11101,0.15894
LHT,2022,Chlorophyll-a,0.12585,0.10202
LHT,2023,Chlorophyll-a,0.15592,0.12757
LHT,2024,Chlorophyll-a,0.06519,0.09604
LHT,2025,Chlorophyll-a,0.14067,0.13293
LHT,2006,Distance to seamount,104.46422,104.5849
LHT,2007,Distance to seamount,76.8131,103.53191
LHT,2008,Distance to seamount,156.83569,146.62798
LHT,2009,Distance to seamount,46.11145,124.0631
LHT,2010,Distance to seamount,40.48534,155.05701
LHT,2011,Distance to seamount,85.28031,112.8706
LHT,2012,Distance to seamount,130.24034,155.92231
LHT,2013,Distance to seamount,116.40584,118.05115
LHT,2014,Distance to seamount,41.03857,185.08506
LHT,2015,Distance to seamount,9.86791,81.87001
LHT,2016,Distance to seamount,137.21314,104.05414
LHT,2017,Distance to seamount,194.09224,115.52394
LHT,2018,Distance to seamount,98.48675,180.08861
LHT,2019,Distance to seamount,60.81834,151.33174
LHT,2020,Distance to seamount,140.92872,136.50675
LHT,2021,Distance to seamount,47.03414,136.50314
LHT,2022,Distance to seamount,89.9392,107.4411
LHT,2023,Distance to seamount,100.88177,124.79225
LHT,2024,Distance to seamount,138.12989,144.59271
LHT,2025,Distance to seamount,136.95101,127.09868
LHT,2006,Sea-level anomaly,0.03181,0.07638
LHT,2007,Sea-level anomaly,0.07277,0.06985
LHT,2008,Sea-level anomaly,0.01997,0.05953
LHT,2009,Sea-level anomaly,0.06199,0.05841
LHT,2010,Sea-level anomaly,0.03798,0.04307
LHT,2011,Sea-level anomaly,0.01782,0.05329
LHT,2012,Sea-level anomaly,0.06824,0.04814
LHT,2013,Sea-level anomaly,0.06137,0.06513
LHT,2014,Sea-level anomaly,0.0417,0.07047
LHT,2015,Sea-level anomaly,0.0362,0.06609
LHT,2016,Sea-level anomaly,0.04917,0.05967
LHT,2017,Sea-level anomaly,0.02374,0.05499
LHT,2018,Sea-level anomaly,0.02797,0.06477
LHT,2019,Sea-level anomaly,0.04249,0.0541
LHT,2020,Sea-level anomaly,0.0638,0.0672
LHT,2021,Sea-level anomaly,0.0572,0.0589
LHT,2022,Sea-level anomaly,0.05293,0.06607
LHT,2023,Sea-level anomaly,0.04525,0.06081
LHT,2024,Sea-level anomaly,0.043,0.08546
LHT,2025,Sea-level anomaly,0.05556,0.04972
LHT,2006,SST,18.57532,16.9896
LHT,2007,SST,18.17622,17.51973
LHT,2008,SST,18.50167,17.80782
LHT,2009,SST,17.75597,17.56525
LHT,2010,SST,18.19531,17.28705
LHT,2011,SST,17.6331,17.0072
LHT,2012,SST,18.4915,15.93302
LHT,2013,SST,18.97827,17.9495
LHT,2014,SST,18.85379,17.60587
LHT,2015,SST,18.90283,16.94993
LHT,2016,SST,18.6465,17.77159
LHT,2017,SST,17.65902,17.54924
LHT,2018,SST,18.65436,17.75132
LHT,2019,SST,18.07217,17.60238
LHT,2020,SST,18.60784,17.37291
LHT,2021,SST,18.21888,17.04298
LHT,2022,SST,17.78606,17.53829
LHT,2023,SST,18.56341,17.5527
LHT,2024,SST,17.79634,16.93517
LHT,2025,SST,17.90408,18.20238
